state,state_case,imparement_num,imparement_desc,state_name,year
1,10001,0,None,AL,2017
1,10002,99,Unknown,AL,2017
1,10003,0,None,AL,2017
1,10003,99,Unknown,AL,2017
1,10003,0,None,AL,2017
1,10004,99,Unknown,AL,2017
1,10005,0,None,AL,2017
1,10006,0,None,AL,2017
1,10006,0,None,AL,2017
1,10007,0,None,AL,2017
1,10007,0,None,AL,2017
1,10008,0,None,AL,2017
1,10009,99,Unknown,AL,2017
1,10010,0,None,AL,2017
1,10011,99,Unknown,AL,2017
1,10011,0,None,AL,2017
1,10012,99,Unknown,AL,2017
1,10012,0,None,AL,2017
1,10013,99,Unknown,AL,2017
1,10013,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10014,99,Unknown,AL,2017
1,10014,0,None,AL,2017
1,10014,0,None,AL,2017
1,10015,99,Unknown,AL,2017
1,10016,99,Unknown,AL,2017
1,10017,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10018,99,Unknown,AL,2017
1,10018,99,Unknown,AL,2017
1,10019,99,Unknown,AL,2017
1,10020,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10021,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10022,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10023,0,None,AL,2017
1,10023,0,None,AL,2017
1,10023,0,None,AL,2017
1,10023,0,None,AL,2017
1,10024,99,Unknown,AL,2017
1,10024,0,None,AL,2017
1,10024,0,None,AL,2017
1,10025,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10026,99,Unknown,AL,2017
1,10026,0,None,AL,2017
1,10027,0,None,AL,2017
1,10028,99,Unknown,AL,2017
1,10029,99,Unknown,AL,2017
1,10030,99,Unknown,AL,2017
1,10031,0,None,AL,2017
1,10031,0,None,AL,2017
1,10031,0,None,AL,2017
1,10032,0,None,AL,2017
1,10033,9,Legal and Illegal Drugs and Alchol,AL,2017
1,10034,99,Unknown,AL,2017
1,10034,0,None,AL,2017
1,10035,99,Unknown,AL,2017
1,10036,99,Unknown,AL,2017
1,10037,0,None,AL,2017
1,10037,0,None,AL,2017
1,10038,0,None,AL,2017
1,10038,0,None,AL,2017
