state,state_case,imparement_num,imparement_desc,state_name,year
1,10001,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10002,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10003,99,Unknown,AL,2014
1,10003,99,Unknown,AL,2014
1,10004,99,Unknown,AL,2014
1,10004,0,None,AL,2014
1,10004,0,None,AL,2014
1,10005,0,None,AL,2014
1,10006,2,Fatigued,AL,2014
1,10007,0,None,AL,2014
1,10007,99,Unknown,AL,2014
1,10008,99,Unknown,AL,2014
1,10008,0,None,AL,2014
1,10009,1,Illness,AL,2014
1,10009,0,None,AL,2014
1,10009,0,None,AL,2014
1,10010,99,Unknown,AL,2014
1,10010,0,None,AL,2014
1,10011,99,Unknown,AL,2014
1,10012,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10013,99,Unknown,AL,2014
1,10014,0,None,AL,2014
1,10015,95,Unknown,AL,2014
1,10015,0,None,AL,2014
1,10016,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10017,0,None,AL,2014
1,10017,0,None,AL,2014
1,10018,0,None,AL,2014
1,10019,99,Unknown,AL,2014
1,10020,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10021,0,None,AL,2014
1,10022,99,Unknown,AL,2014
1,10023,0,None,AL,2014
1,10023,0,None,AL,2014
1,10024,99,Unknown,AL,2014
1,10024,0,None,AL,2014
1,10025,0,None,AL,2014
1,10025,0,None,AL,2014
1,10025,0,None,AL,2014
1,10026,99,Unknown,AL,2014
1,10027,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10027,0,None,AL,2014
1,10028,0,None,AL,2014
1,10029,0,None,AL,2014
1,10029,0,None,AL,2014
1,10029,0,None,AL,2014
1,10030,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10031,99,Unknown,AL,2014
1,10031,0,None,AL,2014
1,10032,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10033,0,None,AL,2014
1,10033,0,None,AL,2014
1,10034,0,None,AL,2014
1,10035,0,None,AL,2014
1,10035,0,None,AL,2014
1,10036,99,Unknown,AL,2014
1,10037,0,None,AL,2014
1,10037,95,Unknown,AL,2014
1,10038,99,Unknown,AL,2014
1,10039,99,Unknown,AL,2014
1,10039,0,None,AL,2014
1,10039,0,None,AL,2014
1,10039,0,None,AL,2014
1,10040,99,Unknown,AL,2014
1,10041,0,None,AL,2014
1,10042,0,None,AL,2014
1,10042,0,None,AL,2014
1,10042,0,None,AL,2014
1,10042,0,None,AL,2014
1,10043,0,None,AL,2014
1,10044,99,Unknown,AL,2014
1,10044,0,None,AL,2014
1,10045,0,None,AL,2014
1,10046,0,None,AL,2014
1,10046,0,None,AL,2014
1,10047,0,None,AL,2014
1,10048,0,None,AL,2014
1,10048,0,None,AL,2014
1,10048,0,None,AL,2014
1,10049,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10050,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10051,99,Unknown,AL,2014
1,10051,0,None,AL,2014
1,10052,99,Unknown,AL,2014
1,10053,0,None,AL,2014
1,10053,0,None,AL,2014
1,10054,0,None,AL,2014
1,10055,99,Unknown,AL,2014
1,10056,99,Unknown,AL,2014
1,10057,2,Fatigued,AL,2014
1,10058,0,None,AL,2014
1,10058,0,None,AL,2014
1,10058,0,None,AL,2014
1,10058,0,None,AL,2014
1,10058,0,None,AL,2014
1,10059,99,Unknown,AL,2014
1,10059,0,None,AL,2014
1,10060,99,Unknown,AL,2014
1,10061,0,None,AL,2014
1,10062,99,Unknown,AL,2014
1,10063,0,None,AL,2014
1,10064,2,Fatigued,AL,2014
1,10065,99,Unknown,AL,2014
1,10065,0,None,AL,2014
1,10066,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10067,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10067,0,None,AL,2014
1,10067,0,None,AL,2014
1,10068,0,None,AL,2014
1,10068,0,None,AL,2014
1,10069,0,None,AL,2014
1,10069,99,Unknown,AL,2014
1,10070,0,None,AL,2014
1,10070,0,None,AL,2014
1,10071,0,None,AL,2014
1,10072,0,None,AL,2014
1,10073,0,None,AL,2014
1,10073,0,None,AL,2014
1,10074,0,None,AL,2014
1,10075,99,Unknown,AL,2014
1,10075,0,None,AL,2014
1,10076,99,Unknown,AL,2014
1,10077,2,Fatigued,AL,2014
1,10078,0,None,AL,2014
1,10079,99,Unknown,AL,2014
1,10079,0,None,AL,2014
1,10080,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10081,95,Unknown,AL,2014
1,10081,0,None,AL,2014
1,10082,0,None,AL,2014
1,10083,0,None,AL,2014
1,10083,0,None,AL,2014
1,10084,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10085,99,Unknown,AL,2014
1,10086,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10087,0,None,AL,2014
1,10087,0,None,AL,2014
1,10088,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10089,99,Unknown,AL,2014
1,10089,0,None,AL,2014
1,10090,0,None,AL,2014
1,10090,0,None,AL,2014
1,10091,0,None,AL,2014
1,10091,0,None,AL,2014
1,10092,0,None,AL,2014
1,10092,0,None,AL,2014
1,10092,0,None,AL,2014
1,10093,99,Unknown,AL,2014
1,10094,99,Unknown,AL,2014
1,10095,10,Physical Imparement,AL,2014
1,10095,0,None,AL,2014
1,10095,0,None,AL,2014
1,10096,0,None,AL,2014
1,10097,99,Unknown,AL,2014
1,10098,99,Unknown,AL,2014
1,10098,99,Unknown,AL,2014
1,10098,0,None,AL,2014
1,10099,99,Unknown,AL,2014
1,10100,0,None,AL,2014
1,10101,10,Physical Imparement,AL,2014
1,10102,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10102,0,None,AL,2014
1,10103,99,Unknown,AL,2014
1,10103,0,None,AL,2014
1,10104,2,Fatigued,AL,2014
1,10105,99,Unknown,AL,2014
1,10105,0,None,AL,2014
1,10106,9,Legal and Illegal Drugs and Alchol,AL,2014
1,10107,0,None,AL,2014
