state,state_case,imparement_num,imparement_desc,state_name,year
1,10001,0,None,AL,2018
1,10002,99,Unknown,AL,2018
1,10003,99,Unknown,AL,2018
1,10003,0,None,AL,2018
1,10004,99,Unknown,AL,2018
1,10005,99,Unknown,AL,2018
1,10005,0,None,AL,2018
1,10006,0,None,AL,2018
1,10007,0,None,AL,2018
1,10008,0,None,AL,2018
1,10008,95,Unknown,AL,2018
1,10009,99,Unknown,AL,2018
1,10010,0,None,AL,2018
1,10011,99,Unknown,AL,2018
1,10011,0,None,AL,2018
1,10011,0,None,AL,2018
1,10012,9,Legal and Illegal Drugs and Alchol,AL,2018
1,10013,0,None,AL,2018
1,10013,0,None,AL,2018
1,10013,0,None,AL,2018
1,10014,0,None,AL,2018
1,10014,99,Unknown,AL,2018
1,10015,1,Illness,AL,2018
1,10016,9,Legal and Illegal Drugs and Alchol,AL,2018
1,10017,0,None,AL,2018
1,10018,99,Unknown,AL,2018
1,10018,0,None,AL,2018
1,10019,9,Legal and Illegal Drugs and Alchol,AL,2018
1,10020,0,None,AL,2018
1,10020,0,None,AL,2018
1,10021,99,Unknown,AL,2018
1,10021,0,None,AL,2018
1,10022,99,Unknown,AL,2018
1,10022,0,None,AL,2018
1,10023,0,None,AL,2018
1,10023,0,None,AL,2018
1,10024,99,Unknown,AL,2018
1,10024,0,None,AL,2018
1,10025,0,None,AL,2018
1,10025,0,None,AL,2018
1,10026,9,Legal and Illegal Drugs and Alchol,AL,2018
1,10027,0,None,AL,2018
1,10028,0,None,AL,2018
1,10028,0,None,AL,2018
1,10029,9,Legal and Illegal Drugs and Alchol,AL,2018
1,10030,99,Unknown,AL,2018
1,10030,0,None,AL,2018
1,10031,99,Unknown,AL,2018
1,10031,0,None,AL,2018
1,10032,0,None,AL,2018
1,10033,2,Fatigued,AL,2018
1,10034,0,None,AL,2018
1,10035,99,Unknown,AL,2018
1,10035,0,None,AL,2018
1,10036,0,None,AL,2018
1,10037,0,None,AL,2018
1,10038,99,Unknown,AL,2018
1,10039,99,Unknown,AL,2018
1,10039,0,None,AL,2018
1,10040,99,Unknown,AL,2018
1,10041,99,Unknown,AL,2018
1,10042,99,Unknown,AL,2018
1,10043,2,Fatigued,AL,2018
1,10043,0,None,AL,2018
1,10044,9,Legal and Illegal Drugs and Alchol,AL,2018
1,10044,0,None,AL,2018
1,10045,99,Unknown,AL,2018
1,10045,99,Unknown,AL,2018
1,10046,99,Unknown,AL,2018
1,10046,0,None,AL,2018
1,10047,99,Unknown,AL,2018
1,10047,0,None,AL,2018
1,10048,99,Unknown,AL,2018
1,10048,0,None,AL,2018
1,10049,0,None,AL,2018
1,10050,99,Unknown,AL,2018
1,10050,99,Unknown,AL,2018
1,10051,99,Unknown,AL,2018
1,10052,0,None,AL,2018
1,10053,99,Unknown,AL,2018
1,10053,0,None,AL,2018
1,10054,0,None,AL,2018
1,10055,0,None,AL,2018
1,10056,99,Unknown,AL,2018
1,10057,99,Unknown,AL,2018
1,10058,9,Legal and Illegal Drugs and Alchol,AL,2018
