state,state_case,imparement_num,imparement_desc,state_name,year
1,10001,0,None,AL,2015
1,10002,0,None,AL,2015
1,10003,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10004,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10005,98,Unknown,AL,2015
1,10005,0,None,AL,2015
1,10006,0,None,AL,2015
1,10007,99,Unknown,AL,2015
1,10008,99,Unknown,AL,2015
1,10009,99,Unknown,AL,2015
1,10010,0,None,AL,2015
1,10010,0,None,AL,2015
1,10011,0,None,AL,2015
1,10011,0,None,AL,2015
1,10012,2,Fatigued,AL,2015
1,10012,0,None,AL,2015
1,10012,0,None,AL,2015
1,10013,0,None,AL,2015
1,10014,0,None,AL,2015
1,10015,99,Unknown,AL,2015
1,10016,0,None,AL,2015
1,10016,0,None,AL,2015
1,10017,1,Illness,AL,2015
1,10018,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10019,99,Unknown,AL,2015
1,10020,0,None,AL,2015
1,10020,0,None,AL,2015
1,10021,0,None,AL,2015
1,10021,0,None,AL,2015
1,10022,2,Fatigued,AL,2015
1,10023,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10024,2,Fatigued,AL,2015
1,10025,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10026,99,Unknown,AL,2015
1,10027,0,None,AL,2015
1,10027,0,None,AL,2015
1,10028,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10029,0,None,AL,2015
1,10030,99,Unknown,AL,2015
1,10030,0,None,AL,2015
1,10031,0,None,AL,2015
1,10032,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10033,0,None,AL,2015
1,10034,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10034,0,None,AL,2015
1,10034,0,None,AL,2015
1,10034,0,None,AL,2015
1,10034,0,None,AL,2015
1,10034,0,None,AL,2015
1,10035,99,Unknown,AL,2015
1,10035,0,None,AL,2015
1,10036,99,Unknown,AL,2015
1,10036,99,Unknown,AL,2015
1,10037,10,Physical Imparement,AL,2015
1,10038,99,Unknown,AL,2015
1,10039,99,Unknown,AL,2015
1,10040,0,None,AL,2015
1,10041,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10042,0,None,AL,2015
1,10043,99,Unknown,AL,2015
1,10044,99,Unknown,AL,2015
1,10045,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10046,0,None,AL,2015
1,10047,99,Unknown,AL,2015
1,10048,99,Unknown,AL,2015
1,10049,0,None,AL,2015
1,10049,99,Unknown,AL,2015
1,10050,0,None,AL,2015
1,10051,99,Unknown,AL,2015
1,10051,99,Unknown,AL,2015
1,10052,99,Unknown,AL,2015
1,10053,0,None,AL,2015
1,10054,99,Unknown,AL,2015
1,10054,0,None,AL,2015
1,10055,99,Unknown,AL,2015
1,10056,99,Unknown,AL,2015
1,10057,0,None,AL,2015
1,10057,0,None,AL,2015
1,10057,0,None,AL,2015
1,10058,99,Unknown,AL,2015
1,10058,0,None,AL,2015
1,10059,0,None,AL,2015
1,10060,99,Unknown,AL,2015
1,10060,0,None,AL,2015
1,10061,99,Unknown,AL,2015
1,10062,1,Illness,AL,2015
1,10063,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10064,0,None,AL,2015
1,10065,0,None,AL,2015
1,10065,0,None,AL,2015
1,10066,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10067,0,None,AL,2015
1,10067,0,None,AL,2015
1,10067,0,None,AL,2015
1,10067,0,None,AL,2015
1,10068,0,None,AL,2015
1,10069,0,None,AL,2015
1,10069,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10070,99,Unknown,AL,2015
1,10071,0,None,AL,2015
1,10071,0,None,AL,2015
1,10072,0,None,AL,2015
1,10073,0,None,AL,2015
1,10074,99,Unknown,AL,2015
1,10074,0,None,AL,2015
1,10074,0,None,AL,2015
1,10074,0,None,AL,2015
1,10075,99,Unknown,AL,2015
1,10075,0,None,AL,2015
1,10076,0,None,AL,2015
1,10077,0,None,AL,2015
1,10078,99,Unknown,AL,2015
1,10079,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10080,99,Unknown,AL,2015
1,10081,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10081,0,None,AL,2015
1,10082,0,None,AL,2015
1,10083,9,Legal and Illegal Drugs and Alchol,AL,2015
1,10083,0,None,AL,2015
1,10084,99,Unknown,AL,2015
1,10084,0,None,AL,2015
1,10084,0,None,AL,2015
1,10085,99,Unknown,AL,2015
1,10086,99,Unknown,AL,2015
1,10086,99,Unknown,AL,2015
1,10087,99,Unknown,AL,2015
