state,state_case,imparement_num,imparement_desc,state_name,year
1,10001,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10002,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10003,2,Fatigued,AL,2016
1,10004,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10005,99,Unknown,AL,2016
1,10006,99,Unknown,AL,2016
1,10007,99,Unknown,AL,2016
1,10008,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10009,0,None,AL,2016
1,10009,99,Unknown,AL,2016
1,10010,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10011,0,None,AL,2016
1,10011,99,Unknown,AL,2016
1,10012,0,None,AL,2016
1,10013,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10014,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10014,0,None,AL,2016
1,10015,99,Unknown,AL,2016
1,10015,0,None,AL,2016
1,10016,99,Unknown,AL,2016
1,10017,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10018,0,None,AL,2016
1,10019,0,None,AL,2016
1,10020,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10020,99,Unknown,AL,2016
1,10021,0,None,AL,2016
1,10021,0,None,AL,2016
1,10022,99,Unknown,AL,2016
1,10022,0,None,AL,2016
1,10023,99,Unknown,AL,2016
1,10024,99,Unknown,AL,2016
1,10025,99,Unknown,AL,2016
1,10025,0,None,AL,2016
1,10026,0,None,AL,2016
1,10026,99,Unknown,AL,2016
1,10026,0,None,AL,2016
1,10027,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10028,99,Unknown,AL,2016
1,10029,99,Unknown,AL,2016
1,10029,0,None,AL,2016
1,10030,99,Unknown,AL,2016
1,10031,2,Fatigued,AL,2016
1,10031,0,None,AL,2016
1,10031,99,Unknown,AL,2016
1,10032,0,None,AL,2016
1,10032,0,None,AL,2016
1,10033,0,None,AL,2016
1,10033,0,None,AL,2016
1,10034,0,None,AL,2016
1,10034,0,None,AL,2016
1,10035,0,None,AL,2016
1,10035,99,Unknown,AL,2016
1,10036,0,None,AL,2016
1,10037,99,Unknown,AL,2016
1,10038,99,Unknown,AL,2016
1,10038,0,None,AL,2016
1,10039,0,None,AL,2016
1,10040,0,None,AL,2016
1,10040,0,None,AL,2016
1,10041,99,Unknown,AL,2016
1,10041,0,None,AL,2016
1,10041,0,None,AL,2016
1,10042,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10042,0,None,AL,2016
1,10043,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10044,1,Illness,AL,2016
1,10045,2,Fatigued,AL,2016
1,10046,2,Fatigued,AL,2016
1,10047,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10047,0,None,AL,2016
1,10048,2,Fatigued,AL,2016
1,10048,99,Unknown,AL,2016
1,10048,0,None,AL,2016
1,10049,0,None,AL,2016
1,10049,0,None,AL,2016
1,10050,99,Unknown,AL,2016
1,10050,0,None,AL,2016
1,10051,0,None,AL,2016
1,10051,0,None,AL,2016
1,10052,99,Unknown,AL,2016
1,10053,0,None,AL,2016
1,10054,0,None,AL,2016
1,10054,0,None,AL,2016
1,10055,99,Unknown,AL,2016
1,10055,99,Unknown,AL,2016
1,10056,99,Unknown,AL,2016
1,10057,0,None,AL,2016
1,10057,99,Unknown,AL,2016
1,10058,0,None,AL,2016
1,10059,0,None,AL,2016
1,10059,0,None,AL,2016
1,10059,99,Unknown,AL,2016
1,10060,99,Unknown,AL,2016
1,10060,0,None,AL,2016
1,10061,99,Unknown,AL,2016
1,10061,0,None,AL,2016
1,10061,0,None,AL,2016
1,10062,2,Fatigued,AL,2016
1,10063,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10063,0,None,AL,2016
1,10063,0,None,AL,2016
1,10063,0,None,AL,2016
1,10064,99,Unknown,AL,2016
1,10064,99,Unknown,AL,2016
1,10065,0,None,AL,2016
1,10065,0,None,AL,2016
1,10066,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10067,1,Illness,AL,2016
1,10068,99,Unknown,AL,2016
1,10069,2,Fatigued,AL,2016
1,10070,99,Unknown,AL,2016
1,10071,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10072,99,Unknown,AL,2016
1,10073,0,None,AL,2016
1,10074,99,Unknown,AL,2016
1,10075,0,None,AL,2016
1,10076,99,Unknown,AL,2016
1,10076,99,Unknown,AL,2016
1,10076,0,None,AL,2016
1,10077,99,Unknown,AL,2016
1,10077,99,Unknown,AL,2016
1,10078,99,Unknown,AL,2016
1,10079,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10080,99,Unknown,AL,2016
1,10081,99,Unknown,AL,2016
1,10081,0,None,AL,2016
1,10082,9,Legal and Illegal Drugs and Alchol,AL,2016
1,10082,0,None,AL,2016
1,10083,99,Unknown,AL,2016
1,10084,0,None,AL,2016
1,10085,0,None,AL,2016
1,10086,99,Unknown,AL,2016
1,10086,0,None,AL,2016
1,10086,0,None,AL,2016
1,10087,99,Unknown,AL,2016
1,10088,99,Unknown,AL,2016
1,10088,0,None,AL,2016
1,10089,0,None,AL,2016
1,10090,99,Unknown,AL,2016
1,10091,0,None,AL,2016
1,10092,99,Unknown,AL,2016
1,10093,99,Unknown,AL,2016
1,10093,0,None,AL,2016
1,10094,99,Unknown,AL,2016
