state,state_case,veh_crash,pedestrians,motorists_involved,rural_urban,latitude,longitude,fatalities,drunk_drivers,state_name,city_name,lighting_name,city,day,month,year,hour,minute,light_conditions
1,10001,1,0,1,2,33.33566111,-87.0071,1,0,AL,BESSEMER,Dark Not Lighted,330,19,2,2017,23,35,2
1,10002,1,0,1,2,34.66152778,-86.7869,1,0,AL,HUNTSVILLE,Daylight,1730,14,2,2017,14,59,1
1,10003,3,0,3,2,32.36651944,-86.1453,1,0,AL,MONTGOMERY,Dark Not Lighted,2130,31,1,2017,20,31,2
1,10004,1,0,1,2,33.510175,-86.89399999999999,1,0,AL,BIRMINGHAM,Dark Lighted,350,1,1,2017,16,55,3
1,10005,1,0,2,1,31.94723611,-86.5568,1,0,AL,Unknown,Dark Not Lighted,0,1,1,2017,20,0,2
1,10006,2,0,4,1,34.36707778,-85.8042,1,0,AL,Unknown,Dark Not Lighted,0,6,1,2017,18,40,2
1,10007,2,0,2,2,33.54551111,-86.7614,1,0,AL,BIRMINGHAM,Daylight,350,11,1,2017,17,57,1
1,10008,1,0,1,1,31.03366667,-87.6351,1,0,AL,Unknown,Daylight,0,11,1,2017,16,50,1
1,10009,1,0,1,1,32.41759167,-85.9429,1,0,AL,Unknown,Daylight,0,11,1,2017,14,30,1
1,10010,1,1,1,2,33.66844167,-86.5534,1,0,AL,Unknown,Dark Not Lighted,0,14,1,2017,4,0,2
1,10011,2,0,2,2,32.39305833,-85.9839,2,0,AL,Unknown,Dark Not Lighted,0,15,1,2017,4,35,2
1,10012,2,0,2,1,32.13146389,-86.4451,1,0,AL,Unknown,Dark Not Lighted,0,19,1,2017,21,50,2
1,10013,2,0,5,1,34.96279722,-86.7952,2,1,AL,Unknown,Dark Not Lighted,0,1,1,2017,18,34,2
1,10014,3,0,3,2,34.09405556,-86.8,1,1,AL,Unknown,Dark Not Lighted,0,2,1,2017,17,5,2
1,10015,1,0,1,2,33.18518333,-86.2849,1,1,AL,Unknown,Dark Not Lighted,0,4,1,2017,0,35,2
1,10016,1,0,1,1,33.43155833,-86.185,1,0,AL,Unknown,Dark Not Lighted,0,4,1,2017,17,10,2
1,10017,1,0,1,1,32.18711944,-86.0408,1,1,AL,MONTGOMERY,Dark Not Lighted,2130,4,1,2017,1,15,2
1,10018,2,0,3,2,33.26630833,-86.3522,1,0,AL,CHILDERSBURG,Dark Lighted,680,4,1,2017,23,48,3
1,10019,1,0,3,2,34.02868333,-86.0316,3,0,AL,GADSDEN,Unknown,1280,5,1,2017,7,44,9
1,10020,1,0,2,2,34.84546389,-86.6427,1,0,AL,HUNTSVILLE,Dark Not Lighted,1730,6,1,2017,23,1,2
1,10021,1,0,1,1,33.158925,-85.4351,1,1,AL,Unknown,Dusk,0,7,1,2017,16,40,5
1,10022,1,0,1,1,34.52646111,-86.7878,1,1,AL,Unknown,Dark Not Lighted,0,9,1,2017,19,44,2
1,10023,4,0,4,1,34.49385833,-87.2587,1,0,AL,Unknown,Daylight,0,5,1,2017,8,45,1
1,10024,3,0,3,1,31.76679722,-85.9067,1,0,AL,Unknown,Daylight,0,6,1,2017,11,27,1
1,10025,1,0,2,1,32.90336111,-85.7637,1,1,AL,Unknown,Dark Not Lighted,0,11,1,2017,0,30,2
1,10026,2,0,2,1,30.47240833,-87.8186,1,0,AL,Unknown,Daylight,0,11,1,2017,6,30,1
1,10027,1,1,2,2,34.81880833,-86.9508,1,0,AL,ATHENS,Dark Not Lighted,170,12,1,2017,20,23,2
1,10028,1,0,1,1,33.80732222,-85.8345,1,0,AL,Unknown,Dark Not Lighted,0,12,1,2017,1,14,2
1,10029,1,0,1,1,34.13319444,-86.6486,1,1,AL,Unknown,Dark Not Lighted,0,12,1,2017,0,27,2
1,10030,1,0,1,2,32.41738611,-87.0832,1,1,AL,Unknown,Dark Not Lighted,0,12,1,2017,23,45,2
1,10031,3,0,3,1,33.76197222,-86.0434,1,0,AL,Unknown,Daylight,0,13,1,2017,13,20,1
1,10032,1,0,1,1,32.21607222,-85.9157,1,0,AL,Unknown,Dusk,0,13,1,2017,17,0,5
1,10033,1,0,1,1,31.17472778,-85.5959,1,1,AL,Unknown,Daylight,0,14,1,2017,14,35,1
1,10034,2,0,3,2,32.35299722,-86.9696,1,0,AL,Unknown,Dark Lighted,0,14,1,2017,0,15,3
1,10035,1,0,3,1,33.85131111,-86.8796,2,0,AL,Unknown,Dark Not Lighted,0,14,1,2017,3,30,2
1,10036,1,0,1,1,33.75118611,-88.2306,1,0,AL,Unknown,Daylight,0,14,1,2017,11,10,1
1,10037,2,0,2,2,33.19260278,-87.5262,1,0,AL,TUSCALOOSA,Dark Lighted,3050,14,1,2017,18,36,3
1,10038,2,0,2,1,32.00772222,-87.0399,1,0,AL,Unknown,Daylight,0,18,1,2017,11,50,1
1,10039,1,0,1,2,30.52319722,-87.9095,1,1,AL,FAIRHOPE,Dark Lighted,1120,18,1,2017,3,8,3
1,10040,1,1,2,2,32.46786389,-85.1068,1,0,AL,Unknown,Dark Not Lighted,0,20,1,2017,20,42,2
1,10041,1,0,2,1,31.88147222,-85.8969,2,1,AL,Unknown,Dark Not Lighted,0,21,1,2017,1,45,2
1,10042,2,0,4,2,33.40672778,-86.9609,2,0,AL,BESSEMER,Dark Lighted,330,22,1,2017,2,43,3
1,10043,2,0,4,1,31.12401667,-88.1094,1,0,AL,Unknown,Dark Not Lighted,0,22,1,2017,18,40,2
1,10044,1,0,1,2,30.37024722,-87.70100000000001,1,0,AL,Unknown,Dark Not Lighted,0,23,1,2017,19,35,2
1,10045,1,0,1,1,33.95275833,-88.1534,1,0,AL,Unknown,Daylight,0,24,1,2017,8,15,1
1,10046,1,1,2,2,34.84603611,-85.626,1,0,AL,HIGDON,Daylight,1633,24,1,2017,14,35,1
1,10047,1,0,4,2,33.50980278,-86.8951,1,1,AL,BIRMINGHAM,Dark Lighted,350,27,1,2017,20,38,3
1,10048,1,0,1,1,31.29880833,-86.8745,1,1,AL,Unknown,Daylight,0,27,1,2017,16,40,1
1,10049,1,0,1,1,34.67881667,-86.1874,1,0,AL,Unknown,Daylight,0,27,1,2017,9,45,1
1,10050,2,0,4,2,33.419175,-86.6765,1,0,AL,Unknown,Dark Lighted,0,28,1,2017,17,43,3
1,10051,2,0,2,1,34.25533889,-86.0987,2,1,AL,Unknown,Dark Not Lighted,0,29,1,2017,1,15,2
1,10052,1,0,1,1,33.42864167,-86.3422,1,0,AL,Unknown,Daylight,0,31,1,2017,5,30,1
1,10053,1,1,2,2,34.81576944,-86.4915,1,0,AL,HUNTSVILLE,Dark Not Lighted,1730,17,1,2017,17,42,2
1,10054,2,0,2,2,30.58723611,-88.1698,1,1,AL,MOBILE,Daylight,2100,20,1,2017,6,45,1
1,10055,2,0,4,2,30.69777222,-88.1062,1,0,AL,MOBILE,Daylight,2100,26,1,2017,8,38,1
1,10056,1,0,1,1,34.82330278,-85.8424,1,1,AL,STEVENSON,Dark Not Lighted,2850,28,1,2017,5,38,2
1,10057,2,0,5,1,34.932775,-86.6433,3,1,AL,Unknown,Daylight,0,31,1,2017,13,10,1
1,10058,1,0,1,2,32.52736389,-85.1201,1,0,AL,Unknown,Dark Not Lighted,0,1,2,2017,20,59,2
1,10059,1,0,1,1,34.69855278,-87.7493,1,0,AL,Unknown,Dark Not Lighted,0,1,2,2017,5,30,2
1,10060,2,0,3,2,34.00282778,-85.9688,1,0,AL,GADSDEN,Dark Lighted,1280,1,2,2017,4,30,3
1,10061,2,0,2,2,34.842625,-87.59,1,0,AL,FLORENCE,Dark Lighted,1200,2,2,2017,18,32,3
1,10062,1,0,2,1,33.45173333,-86.3367,2,0,AL,Unknown,Daylight,0,3,2,2017,13,40,1
1,10063,1,0,2,1,34.15813889,-86.441,1,0,AL,Unknown,Dark Not Lighted,0,3,2,2017,0,16,2
1,10064,1,0,1,1,32.55285,-86.9737,1,0,AL,Unknown,Daylight,0,3,2,2017,12,40,1
1,10065,1,1,1,2,30.67341667,-88.1485,1,1,AL,MOBILE,Dark Lighted,2100,3,2,2017,18,46,3
1,10066,1,1,1,2,32.43126944,-87.0154,1,0,AL,SELMA,Dark Lighted,2760,5,2,2017,20,35,3
1,10067,1,0,1,1,31.29455556,-87.7632,1,0,AL,Unknown,Dark Not Lighted,0,6,2,2017,21,0,2
1,10068,1,0,1,1,33.30375,-85.5359,1,0,AL,Unknown,Dark Not Lighted,0,7,2,2017,17,50,2
1,10069,1,0,2,1,31.09387778,-85.9867,2,0,AL,Unknown,Dark Not Lighted,0,7,2,2017,19,1,2
1,10070,1,0,3,1,34.37493333,-86.4747,1,0,AL,Unknown,Daylight,0,7,2,2017,14,0,1
1,10071,1,0,1,1,34.60710556,-85.7294,1,0,AL,HENAGAR,Dark Not Lighted,1632,8,2,2017,3,58,2
1,10072,2,0,2,2,34.21054167,-86.1681,1,0,AL,BOAZ,Daylight,400,8,2,2017,9,50,1
1,10074,1,0,1,1,34.67186111,-87.8607,1,0,AL,Unknown,Daylight,0,9,2,2017,7,15,1
1,10075,2,0,2,1,33.51267222,-86.2133,1,0,AL,Unknown,Daylight,0,10,2,2017,15,50,1
1,10076,1,0,1,1,31.67875,-85.6152,1,1,AL,Unknown,Dark Not Lighted,0,11,2,2017,0,43,2
1,10077,1,0,1,1,32.28173333,-87.7395,1,1,AL,Unknown,Dark Not Lighted,0,12,2,2017,1,20,2
1,10078,1,1,1,1,34.20741111,-86.4927,1,0,AL,Unknown,Dark Not Lighted,0,12,2,2017,18,10,2
1,10079,3,3,1,1,34.47671111,-87.0363,2,0,AL,Unknown,Dark Not Lighted,0,14,2,2017,5,45,2
1,10080,1,0,1,1,34.01224444,-86.749,1,1,AL,GARDEN CITY,Dark Not Lighted,1310,14,2,2017,20,30,2
1,10081,2,0,2,2,34.21631111,-86.1572,1,0,AL,BOAZ,Dark Lighted,400,15,2,2017,19,4,3
1,10082,1,0,1,1,32.46128333,-85.1514,1,0,AL,Unknown,Daylight,0,17,2,2017,7,19,1
1,10083,1,0,1,1,33.82130833,-87.1624,1,1,AL,Unknown,Dark Lighted,0,18,2,2017,21,15,3
1,10084,1,0,2,1,34.6441,-87.6165,2,0,AL,Unknown,Daylight,0,19,2,2017,14,40,1
1,10085,1,0,1,2,34.82025833,-87.0088,1,1,AL,Unknown,Dark Not Lighted,0,19,2,2017,4,0,2
1,10086,1,0,1,2,33.36851667,-87.0103,1,0,AL,BESSEMER,Dawn,330,19,2,2017,5,25,4
